HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
00 58    0.138    0.097    0.203  999.000    0.207    0.215    0.085    0.088    0.096    0.211    0.109    0.255   5
00 59    0.128    0.097    0.173  999.000    0.224    0.191    0.082    0.066    0.075    0.157    0.081    0.178   5
01 00    0.116    0.082    0.086  999.000    0.210    0.146    0.088    0.071    0.065    0.176    0.090    0.165   5
01 01    0.119    0.080    0.086  999.000    0.144    0.167    0.126    0.086    0.071    0.149    0.076    0.131   5
01 02    0.120    0.059    0.074  999.000    0.162    0.206    0.110    0.054    0.066    0.136    0.077    0.105   5
01 03    0.139    0.053    0.057  999.000    0.204    0.236    0.119    0.064    0.073    0.120    0.077    0.129   5
01 04    0.170    0.083    0.064  999.000    0.242    0.296    0.135    0.101    0.078    0.151    0.096    0.204   5
01 05    0.177    0.124    0.141  999.000    0.228    0.295    0.134    0.134    0.091    0.158    0.093    0.255   5
01 06    0.111    0.166    0.205  999.000    0.161    0.129    0.106    0.066    0.091    0.101    0.087    0.285   5
01 07    0.110    0.123    0.131  999.000    0.159    0.106    0.109    0.066    0.113    0.118    0.108    0.265   5
01 08    0.132    0.177    0.100  999.000    0.138    0.121    0.173    0.115    0.115    0.153    0.111    0.316   5
01 09    0.111    0.192    0.076  999.000    0.109    0.126    0.117    0.095    0.111    0.112    0.129    0.480   5
01 10    0.088    0.162    0.165  999.000    0.072    0.133    0.100    0.063    0.071    0.147    0.118    0.432   5
01 11    0.105    0.114    0.178  999.000    0.130    0.149    0.100    0.094    0.052    0.136    0.093    0.284   5
01 12    0.113    0.067    0.133  999.000    0.160    0.184    0.125    0.051    0.046    0.092    0.066    0.227   5
01 13    0.116    0.072    0.113  999.000    0.160    0.206    0.126    0.049    0.040    0.173    0.083    0.198   5
01 14    0.084    0.032    0.089  999.000    0.118    0.124    0.106    0.035    0.037    0.172    0.075    0.163   5
01 15    0.098    0.085    0.154  999.000    0.138    0.118    0.117    0.056    0.063    0.152    0.076    0.194   5
